Ano,Campeão,Vice,Semifinalistas
1989,Grêmio,Sport,Flamengo e Goiás
1990,Flamengo,Goiás,Náutico e Criciúma
1991,Criciúma,Grêmio,Remo e Coritiba
1992,Inter,Fluminense,Palmeiras e Sport
1993,Cruzeiro,Grêmio,Vasco e Flamengo
1994,Grêmio,Ceará,Vasco e Linhares
1995,Corinthians,Grêmio,Vasco e Flamengo
1996,Cruzeiro,Palmeiras,Flamengo e Grêmio
1997,Grêmio,Flamengo,Corinthians e Palmeiras
1998,Palmeiras,Cruzeiro,Santos e Vasco
1999,Juventude,Botafogo,Inter e Palmeiras
2000,Cruzeiro,São Paulo,Santos e Atlético-MG
2001,Grêmio,Corinthians,Coritiba e Ponte Preta
2002,Corinthians,Brasiliense,São Paulo e Atlético-MG
2003,Cruzeiro,Flamengo,Goiás e Sport
2004,Santo André,Flamengo,15 de Novembro-RS e Vitória
2005,Paulista,Fluminense,Cruzeiro e Ceará
2006,Flamengo,Vasco,Ipatinga e Fluminense
2007,Fluminense,Figueirense,Brasiliense e Botafogo
2008,Sport,Corinthians,Vasco e Botafogo
2009,Corinthians,Inter,Vasco e Coritiba
2010,Santos,Vitória,Grêmio e Atlético-GO
2011,Vasco,Coritiba,Avaí e Ceará
2012,Palmeiras,Coritiba,Grêmio e São Paulo
2013,Flamengo,Atlético-PR,Goiás e Grêmio
2014,Atlético-MG,Cruzeiro,Flamengo e Santos
2015,Palmeiras,Santos,Fluminense e São Paulo
2016,Grêmio,Atlético-MG,Cruzeiro e Inter
2017,Cruzeiro,Flamengo,Grêmio e Botafogo
2018,Cruzeiro,Corinthians,Palmeiras e Flamengo
2019,Athletico-PR,Internacional,Grêmio e Cruzeiro
2020,Palmeiras,Grêmio,América-MG e São Paulo
2021,Atlético-MG,Athletico-PR,Fortaleza e Flamengo
2022,Flamengo,Corinthians,São Paulo e Fluminense
2023,São Paulo,Flamengo,Corinthians e Grêmio
